1428328397,6051352,6308751,610811,1392508,l,0,90,,
1428328407,6051352,6308751,610812,1392508,l,0,110,,
1428328417,6051352,6308751,610812,1392508,l,0,130,,
1428328427,6051352,6308751,610812,1392508,l,0,100,,
1428328437,6051352,6308751,610813,1392508,l,0,130,,
1428328447,6051352,6308751,610813,1392508,l,0,130,,
1428328457,6051352,6308751,610814,1392508,l,0,150,,
1428328467,6051352,6308751,610814,1392508,l,0,150,,
1428328477,6051352,6308751,610814,1392508,l,0,150,,
1428328487,6051352,6308751,610815,1392508,l,0,150,,
1428328497,6051352,6308751,610815,1392508,l,0,150,,
1428328507,6051352,6308751,610816,1392508,l,0,160,,
1428328517,6051352,6308751,610816,1392508,l,0,150,,
1428328527,6051352,6308751,610817,1392508,l,0,130,,
1428328537,6051352,6308751,610817,1392508,l,0,150,,
1428328547,6051352,6308751,610818,1392508,l,0,160,,
1428328557,6051352,6308751,610818,1392508,l,0,160,,
1428328567,6051352,6308751,610818,1392508,l,0,160,,
1428328577,6051352,6308751,610819,1392508,l,0,120,,
1428328587,6051352,6308751,610819,1392508,l,0,180,,
1428328597,6051352,6308751,610820,1392508,l,0,140,,
1428328607,6051352,6308751,610820,1392508,l,0,190,,
1428328617,6051352,6308751,610821,1392508,l,0,200,,
1428328627,6051352,6308751,610821,1392508,l,0,140,,
1428328637,6051352,6308751,610822,1392508,l,0,160,,
1428328647,6051352,6308751,610822,1392508,l,0,190,,
1428328657,6051352,6308751,610823,1392508,l,0,200,,
1428328667,6051352,6308751,610823,1392508,l,0,200,,
1428328677,6051352,6308751,610824,1392508,l,0,200,,
1428328687,6051352,6308751,610824,1392508,l,0,200,,
1428328697,6051352,6308751,610825,1392508,l,0,200,,
1428328707,6051352,6308751,610826,1392508,l,0,200,,
1428328717,6051352,6308751,610826,1392508,l,0,200,,
1428328727,6051352,6308751,610827,1392508,l,0,200,,
1428328737,6051352,6308751,610827,1392508,l,0,200,,
1428328747,6051352,6308751,610828,1392508,l,0,200,,
1428328757,6051352,6308751,610828,1392508,l,0,200,,
1428328767,6051352,6308751,610829,1392508,l,0,210,,
1428328777,6051352,6308751,610830,1392508,l,0,200,,
1428328787,6051352,6308751,610830,1392508,l,0,200,,
1428328797,6051352,6308751,610831,1392508,l,0,200,,
1428328807,6051352,6308751,610831,1392508,l,0,210,,
1428328817,6051352,6308751,610832,1392508,l,0,210,,
1428328827,6051352,6308751,610832,1392508,l,0,210,,
1428328837,6051352,6308751,610833,1392508,l,0,180,,
1428328847,6051352,6308751,610834,1392508,l,0,220,,
1428328857,6051352,6308751,610834,1392508,l,0,220,,
1428328867,6051352,6308751,610835,1392508,l,0,230,,
1428328877,6051352,6308751,610835,1392508,l,0,230,,
1428328887,6051352,6308751,610836,1392508,l,0,220,,
1428328897,6051352,6308751,610837,1392508,l,0,230,,
1428328907,6051352,6308751,610837,1392508,l,0,240,,
1428328917,6051352,6308751,610838,1392508,l,0,240,,
1428328927,6051352,6308751,610839,1392508,l,0,260,,
1428328937,6051352,6308751,610840,1392508,l,0,260,,
1428328947,6051352,6308751,610840,1392508,l,0,270,,
1428328957,6051352,6308751,610841,1392508,l,0,270,,
